"x","Sin(x)","Cosx"
0.785397,0.707106,0.707107
0.801105,0.718126,0.695913
0.816813,0.728968,0.684548
0.832521,0.739631,0.673013
0.848229,0.750111,0.661312
0.863937,0.760406,0.649449
0.879645,0.770513,0.637425
0.895353,0.780430,0.625243
0.911061,0.790155,0.612908
0.926769,0.799684,0.600421
0.942477,0.809017,0.587786
0.958185,0.818149,0.575006
0.973893,0.827080,0.562084
0.989601,0.835807,0.549023
1.005309,0.844328,0.535827
1.021017,0.852640,0.522499
1.036725,0.860742,0.509042
1.052433,0.868631,0.495459
1.068141,0.876306,0.481754
1.083849,0.883765,0.467930
1.099557,0.891006,0.453991
1.115265,0.898027,0.439940
1.130973,0.904827,0.425780
1.146681,0.911403,0.411515
1.162389,0.917754,0.397148
1.178097,0.923879,0.382684
1.193805,0.929776,0.368125
1.209513,0.935444,0.353475
1.225221,0.940881,0.338739
1.240928,0.946085,0.323918
1.256636,0.951056,0.309018
1.272344,0.955793,0.294041
1.288052,0.960294,0.278992
1.303760,0.964557,0.263874
1.319468,0.968583,0.248690
1.335176,0.972370,0.233446
1.350884,0.975917,0.218144
1.366592,0.979223,0.202788
1.382300,0.982287,0.187382
1.398008,0.985109,0.171930
1.413716,0.987688,0.156435
1.429424,0.990024,0.140902
1.445132,0.992115,0.125334
1.460840,0.993961,0.109735
1.476548,0.995562,0.094109
1.492256,0.996917,0.078460
1.507964,0.998027,0.062791
1.523672,0.998890,0.047107
1.539380,0.999507,0.031411
1.555088,0.999877,0.015708
1.570796,1.000000,0.000001
1.586504,0.999877,-0.015707
1.602212,0.999507,-0.031410
1.617920,0.998890,-0.047106
1.633628,0.998027,-0.062790
1.649336,0.996917,-0.078459
1.665044,0.995562,-0.094108
1.680751,0.993961,-0.109734
1.696459,0.992115,-0.125333
1.712167,0.990024,-0.140901
1.727875,0.987688,-0.156434
1.743583,0.985109,-0.171929
1.759291,0.982287,-0.187381
1.774999,0.979223,-0.202787
1.790707,0.975917,-0.218143
1.806415,0.972370,-0.233445
1.822123,0.968583,-0.248689
1.837831,0.964558,-0.263872
1.853539,0.960294,-0.278991
1.869247,0.955793,-0.294040
1.884955,0.951057,-0.309016
1.900663,0.946086,-0.323917
1.916371,0.940881,-0.338737
1.932079,0.935444,-0.353474
1.947787,0.929777,-0.368124
1.963495,0.923880,-0.382683
1.979203,0.917755,-0.397147
1.994911,0.911404,-0.411514
2.010619,0.904827,-0.425779
2.026327,0.898028,-0.439939
2.042035,0.891007,-0.453990
2.057743,0.883766,-0.467929
2.073451,0.876307,-0.481753
2.089159,0.868632,-0.495458
2.104867,0.860742,-0.509041
2.120574,0.852640,-0.522498
2.136282,0.844328,-0.535826
2.151990,0.835808,-0.549022
2.167698,0.827081,-0.562083
2.183406,0.818150,-0.575005
2.199114,0.809017,-0.587785
2.214822,0.799685,-0.600420
2.230530,0.790155,-0.612907
2.246238,0.780431,-0.625242
2.261946,0.770514,-0.637424
2.277654,0.760406,-0.649448
2.293362,0.750111,-0.661311
2.309070,0.739631,-0.673012
2.324778,0.728969,-0.684547
2.340486,0.718127,-0.695912
2.356194,0.707107,-0.707106
2.371902,0.695913,-0.718126
2.387610,0.684547,-0.728968
2.403318,0.673013,-0.739631
2.419026,0.661312,-0.750111
2.434734,0.649448,-0.760406
2.450442,0.637424,-0.770513
2.466150,0.625243,-0.780430
2.481858,0.612907,-0.790155
2.497566,0.600421,-0.799684
2.513274,0.587786,-0.809017
2.528982,0.575006,-0.818149
2.544690,0.562084,-0.827080
2.560398,0.549023,-0.835807
2.576105,0.535827,-0.844328
2.591813,0.522499,-0.852640
2.607521,0.509042,-0.860742
2.623229,0.495459,-0.868631
2.638937,0.481754,-0.876306
2.654645,0.467930,-0.883765
2.670353,0.453991,-0.891006
2.686061,0.439940,-0.898027
2.701769,0.425780,-0.904827
2.717477,0.411515,-0.911403
2.733185,0.397148,-0.917754
2.748893,0.382684,-0.923879
2.764601,0.368125,-0.929776
2.780309,0.353475,-0.935444
2.796017,0.338738,-0.940881
2.811725,0.323918,-0.946085
2.827433,0.309017,-0.951056
2.843141,0.294041,-0.955793
2.858849,0.278992,-0.960294
2.874557,0.263874,-0.964557
2.890265,0.248690,-0.968583
2.905973,0.233446,-0.972370
2.921681,0.218144,-0.975917
2.937389,0.202788,-0.979223
2.953097,0.187382,-0.982287
2.968805,0.171930,-0.985109
2.984513,0.156435,-0.987688
3.000221,0.140902,-0.990024
3.015928,0.125334,-0.992115
3.031636,0.109735,-0.993961
3.047344,0.094109,-0.995562
3.063052,0.078460,-0.996917
3.078760,0.062791,-0.998027
3.094468,0.047107,-0.998890
3.110176,0.031411,-0.999507
3.125884,0.015708,-0.999877
3.141592,0.000000,-1.000000
3.157300,-0.015707,-0.999877
3.173008,-0.031410,-0.999507
3.188716,-0.047106,-0.998890
3.204424,-0.062790,-0.998027
3.220132,-0.078459,-0.996917
3.235840,-0.094108,-0.995562
3.251548,-0.109734,-0.993961
3.267256,-0.125333,-0.992115
3.282964,-0.140901,-0.990024
3.298672,-0.156434,-0.987688
3.314380,-0.171929,-0.985109
3.330088,-0.187381,-0.982287
3.345796,-0.202787,-0.979223
3.361504,-0.218143,-0.975917
3.377212,-0.233445,-0.972370
3.392920,-0.248689,-0.968583
3.408628,-0.263873,-0.964558
3.424336,-0.278991,-0.960294
3.440044,-0.294040,-0.955793
3.455752,-0.309017,-0.951057
3.471459,-0.323917,-0.946085
3.487167,-0.338738,-0.940881
3.502875,-0.353474,-0.935444
3.518583,-0.368124,-0.929777
3.534291,-0.382683,-0.923880
3.549999,-0.397148,-0.917755
3.565707,-0.411514,-0.911403
3.581415,-0.425779,-0.904827
3.597123,-0.439939,-0.898028
3.612831,-0.453990,-0.891007
3.628539,-0.467929,-0.883766
3.644247,-0.481753,-0.876307
3.659955,-0.495458,-0.868632
3.675663,-0.509041,-0.860742
3.691371,-0.522498,-0.852640
3.707079,-0.535826,-0.844328
3.722787,-0.549022,-0.835808
3.738495,-0.562083,-0.827081
3.754203,-0.575005,-0.818150
3.769911,-0.587785,-0.809017
3.785619,-0.600420,-0.799685
3.801327,-0.612907,-0.790155
3.817035,-0.625242,-0.780431
3.832743,-0.637424,-0.770513
3.848451,-0.649448,-0.760406
3.864159,-0.661312,-0.750111
3.879867,-0.673012,-0.739631
3.895575,-0.684547,-0.728969
3.911282,-0.695913,-0.718127
3.926990,-0.707107,-0.707107
